#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       4.24368478e-06       9.79361458e-01       6.04835912e+03       4.83000000e+02       4.95370000e+04       4.45000000e+02       4.94970000e+04       0.00000000e+00       0.00000000e+00       3.80000000e+01
      1.58489319e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       6.71682993e-06       9.79647461e-01       6.07485345e+03       7.67000000e+02       4.92620000e+04       7.08000000e+02       4.92040000e+04       0.00000000e+00       0.00000000e+00       5.90000000e+01
      2.51188643e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.07764855e-05       9.79694479e-01       6.00412044e+03       1.21500000e+03       4.88270000e+04       1.12800000e+03       4.87430000e+04       0.00000000e+00       0.00000000e+00       8.70000000e+01
      3.98107171e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.73192532e-05       9.79530295e-01       5.89469610e+03       1.94300000e+03       4.81320000e+04       1.79600000e+03       4.79820000e+04       0.00000000e+00       0.00000000e+00       1.47000000e+02
      6.30957344e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       2.71196705e-05       9.79603713e-01       5.78089724e+03       2.93700000e+03       4.71840000e+04       2.69100000e+03       4.69420000e+04       0.00000000e+00       0.00000000e+00       2.46000000e+02
      1.00000000e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       4.59670435e-05       9.79161644e-01       5.47486109e+03       4.61300000e+03       4.55690000e+04       4.24600000e+03       4.52050000e+04       0.00000000e+00       0.00000000e+00       3.67000000e+02
      1.58489319e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       7.08797896e-05       9.79393499e-01       5.25562781e+03       6.84200000e+03       4.34410000e+04       6.27800000e+03       4.28750000e+04       0.00000000e+00       0.00000000e+00       5.64000000e+02
      2.51188643e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.12592574e-04       9.79133270e-01       4.80788734e+03       9.96100000e+03       4.04340000e+04       9.17800000e+03       3.96440000e+04       0.00000000e+00       0.00000000e+00       7.83000000e+02
      3.98107171e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.91916098e-04       9.78457231e-01       4.23441826e+03       1.43820000e+04       3.62010000e+04       1.32190000e+04       3.50350000e+04       0.00000000e+00       0.00000000e+00       1.16300000e+03
      6.30957344e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       3.38268220e-04       9.77626838e-01       3.51919310e+03       1.97470000e+04       3.10660000e+04       1.81200000e+04       2.94390000e+04       0.00000000e+00       0.00000000e+00       1.62800000e+03
      1.00000000e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       5.90076331e-04       9.76299156e-01       2.76156372e+03       2.55000000e+04       2.56090000e+04       2.32830000e+04       2.33920000e+04       0.00000000e+00       0.00000000e+00       2.21600000e+03
      1.58489319e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.86572950e-01       2.84714130e-04       3.75004097e+03       3.11070000e+04       1.96730000e+04       2.95470000e+04       1.81120000e+04       0.00000000e+00       0.00000000e+00       1.56100000e+03
      2.51188643e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.92083395e-01       1.52266830e-04       4.59062750e+03       3.62920000e+04       1.42500000e+04       3.52080000e+04       1.31650000e+04       0.00000000e+00       0.00000000e+00       1.08500000e+03
      3.98107171e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.95085941e-01       9.19182033e-05       5.22815657e+03       4.01090000e+04       1.02620000e+04       3.93670000e+04       9.52000000e+03       0.00000000e+00       0.00000000e+00       7.42000000e+02
      6.30957344e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.96974710e-01       5.37978587e-05       5.76468627e+03       4.33740000e+04       6.88200000e+03       4.28620000e+04       6.36900000e+03       0.00000000e+00       0.00000000e+00       5.13000000e+02
      1.00000000e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.98108005e-01       3.25338564e-05       6.11944284e+03       4.55630000e+04       4.59900000e+03       4.52390000e+04       4.27600000e+03       0.00000000e+00       0.00000000e+00       3.23000000e+02
      1.58489319e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.98813231e-01       1.99420284e-05       6.37035623e+03       4.70900000e+04       3.00700000e+03       4.68960000e+04       2.81400000e+03       0.00000000e+00       0.00000000e+00       1.93000000e+02
      2.51188643e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99250586e-01       1.28126973e-05       6.46565439e+03       4.81220000e+04       1.93700000e+03       4.80040000e+04       1.82000000e+03       0.00000000e+00       0.00000000e+00       1.17000000e+02
      3.98107171e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99529248e-01       8.20495399e-06       6.65064318e+03       4.87860000e+04       1.25500000e+03       4.87040000e+04       1.17000000e+03       0.00000000e+00       0.00000000e+00       8.50000000e+01
