#         Kad                 Kdiff                 eaa                 Krxn                theta_A                 t                  Nads                 Ndes                 Ndiff                Nrxn         
      1.00000000e+00       1.00000000e-03       0.00000000e+00       5.00000000e+00       2.04034936e-01       1.93044800e+03       6.14054000e+05       1.56810000e+05       5.03000000e+02       2.28633000e+05
      1.00000000e+00       1.61559810e-03       0.00000000e+00       5.00000000e+00       2.03767051e-01       1.92930789e+03       6.13612000e+05       1.57487000e+05       8.41000000e+02       2.28060000e+05
      1.00000000e+00       2.61015722e-03       0.00000000e+00       5.00000000e+00       2.03749552e-01       1.92726135e+03       6.13163000e+05       1.57757000e+05       1.37800000e+03       2.27702000e+05
      1.00000000e+00       4.21696503e-03       0.00000000e+00       5.00000000e+00       2.03925652e-01       1.92327194e+03       6.12970000e+05       1.56591000e+05       2.25200000e+03       2.28187000e+05
      1.00000000e+00       6.81292069e-03       0.00000000e+00       5.00000000e+00       2.04239671e-01       1.91938665e+03       6.12179000e+05       1.56265000e+05       3.60700000e+03       2.27949000e+05
      1.00000000e+00       1.10069417e-02       0.00000000e+00       5.00000000e+00       2.03996105e-01       1.91553901e+03       6.10730000e+05       1.56303000e+05       5.74900000e+03       2.27218000e+05
      1.00000000e+00       1.77827941e-02       0.00000000e+00       5.00000000e+00       2.03469626e-01       1.90662397e+03       6.08409000e+05       1.55790000e+05       9.49700000e+03       2.26304000e+05
      1.00000000e+00       2.87298483e-02       0.00000000e+00       5.00000000e+00       2.03150998e-01       1.90079246e+03       6.05145000e+05       1.54542000e+05       1.50130000e+04       2.25300000e+05
      1.00000000e+00       4.64158883e-02       0.00000000e+00       5.00000000e+00       2.03057233e-01       1.87854211e+03       5.99874000e+05       1.52244000e+05       2.40620000e+04       2.23820000e+05
      1.00000000e+00       7.49894209e-02       0.00000000e+00       5.00000000e+00       2.02587340e-01       1.84964235e+03       5.91293000e+05       1.49608000e+05       3.82710000e+04       2.20828000e+05
      1.00000000e+00       1.21152766e-01       0.00000000e+00       5.00000000e+00       2.00701058e-01       1.80715087e+03       5.78530000e+05       1.45363000e+05       5.95240000e+04       2.16583000e+05
      1.00000000e+00       1.95734178e-01       0.00000000e+00       5.00000000e+00       1.99530537e-01       1.74342837e+03       5.58642000e+05       1.38962000e+05       9.25560000e+04       2.09840000e+05
      1.00000000e+00       3.16227766e-01       0.00000000e+00       5.00000000e+00       1.97871884e-01       1.65042405e+03       5.29715000e+05       1.30621000e+05       1.40119000e+05       1.99545000e+05
      1.00000000e+00       5.10896977e-01       0.00000000e+00       5.00000000e+00       1.96086961e-01       1.52057478e+03       4.89404000e+05       1.19316000e+05       2.06249000e+05       1.85031000e+05
      1.00000000e+00       8.25404185e-01       0.00000000e+00       5.00000000e+00       1.93678539e-01       1.35482899e+03       4.37482000e+05       1.04948000e+05       2.91304000e+05       1.66266000e+05
      1.00000000e+00       1.33352143e+00       0.00000000e+00       5.00000000e+00       1.91501961e-01       1.15583575e+03       3.74237000e+05       8.77900000e+04       3.94746000e+05       1.43227000e+05
      1.00000000e+00       2.15443469e+00       0.00000000e+00       5.00000000e+00       1.88907709e-01       9.34379927e+02       3.03243000e+05       7.11070000e+04       5.09581000e+05       1.16069000e+05
      1.00000000e+00       3.48070059e+00       0.00000000e+00       5.00000000e+00       1.87384583e-01       7.17990489e+02       2.32967000e+05       5.35020000e+04       6.23803000e+05       8.97280000e+04
      1.00000000e+00       5.62341325e+00       0.00000000e+00       5.00000000e+00       1.86277913e-01       5.20807932e+02       1.69907000e+05       3.89210000e+04       7.25682000e+05       6.54900000e+04
      1.00000000e+00       9.08517576e+00       0.00000000e+00       5.00000000e+00       1.83097482e-01       3.66178395e+02       1.19255000e+05       2.68910000e+04       8.07675000e+05       4.61790000e+04
      1.00000000e+00       1.46779927e+01       0.00000000e+00       5.00000000e+00       1.82900924e-01       2.45170619e+02       7.99160000e+04       1.77540000e+04       8.71257000e+05       3.10730000e+04
      1.00000000e+00       2.37137371e+01       0.00000000e+00       5.00000000e+00       1.81211825e-01       1.60922297e+02       5.28550000e+04       1.16210000e+04       9.14920000e+05       2.06040000e+04
      1.00000000e+00       3.83118685e+01       0.00000000e+00       5.00000000e+00       1.80869339e-01       1.03708157e+02       3.38530000e+04       7.56000000e+03       9.45439000e+05       1.31480000e+04
      1.00000000e+00       6.18965819e+01       0.00000000e+00       5.00000000e+00       1.80537719e-01       6.55605653e+01       2.14670000e+04       4.77900000e+03       9.65410000e+05       8.34400000e+03
      1.00000000e+00       1.00000000e+02       0.00000000e+00       5.00000000e+00       1.79115677e-01       4.14253744e+01       1.36090000e+04       3.06400000e+03       9.78053000e+05       5.27400000e+03
