#         Kad                 Kdiff                 eaa                 Krxn                theta_A                 t                  Nads                 Ndes                 Ndiff                Nrxn         
      1.00000000e+00       1.00000000e-03       0.00000000e+00       5.00000000e+00       2.03399192e-01       1.93034510e+03       6.13649000e+05       1.57935000e+05       5.56000000e+02       2.27860000e+05
      1.00000000e+00       1.61559810e-03       0.00000000e+00       5.00000000e+00       2.03967050e-01       1.92506924e+03       6.13815000e+05       1.56655000e+05       9.51000000e+02       2.28579000e+05
      1.00000000e+00       2.61015722e-03       0.00000000e+00       5.00000000e+00       2.03846430e-01       1.92546028e+03       6.13301000e+05       1.57423000e+05       1.33700000e+03       2.27939000e+05
      1.00000000e+00       4.21696503e-03       0.00000000e+00       5.00000000e+00       2.03446727e-01       1.92200921e+03       6.12902000e+05       1.56567000e+05       2.36900000e+03       2.28162000e+05
      1.00000000e+00       6.81292069e-03       0.00000000e+00       5.00000000e+00       2.03499822e-01       1.92227583e+03       6.11988000e+05       1.56787000e+05       3.62200000e+03       2.27603000e+05
      1.00000000e+00       1.10069417e-02       0.00000000e+00       5.00000000e+00       2.03228982e-01       1.91591513e+03       6.10800000e+05       1.56010000e+05       5.79500000e+03       2.27395000e+05
      1.00000000e+00       1.77827941e-02       0.00000000e+00       5.00000000e+00       2.03103360e-01       1.91595749e+03       6.08334000e+05       1.56251000e+05       9.37000000e+03       2.26045000e+05
      1.00000000e+00       2.87298483e-02       0.00000000e+00       5.00000000e+00       2.03575012e-01       1.89583834e+03       6.05098000e+05       1.54562000e+05       1.50770000e+04       2.25263000e+05
      1.00000000e+00       4.64158883e-02       0.00000000e+00       5.00000000e+00       2.02864305e-01       1.87809480e+03       5.99779000e+05       1.52240000e+05       2.42160000e+04       2.23765000e+05
      1.00000000e+00       7.49894209e-02       0.00000000e+00       5.00000000e+00       2.02174600e-01       1.84860234e+03       5.91588000e+05       1.49199000e+05       3.80150000e+04       2.21198000e+05
      1.00000000e+00       1.21152766e-01       0.00000000e+00       5.00000000e+00       2.01266814e-01       1.80792761e+03       5.78383000e+05       1.45080000e+05       5.98880000e+04       2.16649000e+05
      1.00000000e+00       1.95734178e-01       0.00000000e+00       5.00000000e+00       1.99843152e-01       1.74129515e+03       5.57953000e+05       1.39236000e+05       9.34570000e+04       2.09354000e+05
      1.00000000e+00       3.16227766e-01       0.00000000e+00       5.00000000e+00       1.97585891e-01       1.65205701e+03       5.29671000e+05       1.30737000e+05       1.40126000e+05       1.99466000e+05
      1.00000000e+00       5.10896977e-01       0.00000000e+00       5.00000000e+00       1.95458760e-01       1.52377215e+03       4.89973000e+05       1.19172000e+05       2.05456000e+05       1.85399000e+05
      1.00000000e+00       8.25404185e-01       0.00000000e+00       5.00000000e+00       1.93555976e-01       1.35792531e+03       4.37251000e+05       1.04879000e+05       2.91684000e+05       1.66186000e+05
      1.00000000e+00       1.33352143e+00       0.00000000e+00       5.00000000e+00       1.91465110e-01       1.15584714e+03       3.73404000e+05       8.84580000e+04       3.95666000e+05       1.42472000e+05
      1.00000000e+00       2.15443469e+00       0.00000000e+00       5.00000000e+00       1.89198338e-01       9.33610194e+02       3.03074000e+05       7.08350000e+04       5.09969000e+05       1.16122000e+05
      1.00000000e+00       3.48070059e+00       0.00000000e+00       5.00000000e+00       1.87180808e-01       7.17494186e+02       2.33301000e+05       5.36140000e+04       6.23234000e+05       8.98510000e+04
      1.00000000e+00       5.62341325e+00       0.00000000e+00       5.00000000e+00       1.85515988e-01       5.23377284e+02       1.70034000e+05       3.90500000e+04       7.25425000e+05       6.54910000e+04
      1.00000000e+00       9.08517576e+00       0.00000000e+00       5.00000000e+00       1.83779046e-01       3.65266359e+02       1.19060000e+05       2.66350000e+04       8.08095000e+05       4.62100000e+04
      1.00000000e+00       1.46779927e+01       0.00000000e+00       5.00000000e+00       1.83512877e-01       2.44402554e+02       8.01440000e+04       1.79650000e+04       8.70799000e+05       3.10920000e+04
      1.00000000e+00       2.37137371e+01       0.00000000e+00       5.00000000e+00       1.81582348e-01       1.61049256e+02       5.26280000e+04       1.16870000e+04       9.15222000e+05       2.04630000e+04
      1.00000000e+00       3.83118685e+01       0.00000000e+00       5.00000000e+00       1.81368316e-01       1.03263166e+02       3.34900000e+04       7.41300000e+03       9.46064000e+05       1.30330000e+04
      1.00000000e+00       6.18965819e+01       0.00000000e+00       5.00000000e+00       1.80237244e-01       6.56917190e+01       2.15660000e+04       4.79400000e+03       9.65257000e+05       8.38300000e+03
      1.00000000e+00       1.00000000e+02       0.00000000e+00       5.00000000e+00       1.79588383e-01       4.12962455e+01       1.34340000e+04       2.87800000e+03       9.78409000e+05       5.27900000e+03
