#         Kad                 Kdiff                 eaa                 Krxn                theta_A                 t                  Nads                 Ndes                 Ndiff                Nrxn         
      1.00000000e+00       1.00000000e-03       0.00000000e+00       5.00000000e+00       2.03970732e-01       1.92641648e+03       6.13749000e+05       1.57719000e+05       5.21000000e+02       2.28011000e+05
      1.00000000e+00       1.61559810e-03       0.00000000e+00       5.00000000e+00       2.03470364e-01       1.92790807e+03       6.13810000e+05       1.56805000e+05       8.88000000e+02       2.28497000e+05
      1.00000000e+00       2.61015722e-03       0.00000000e+00       5.00000000e+00       2.03807827e-01       1.92874161e+03       6.13345000e+05       1.57039000e+05       1.46200000e+03       2.28154000e+05
      1.00000000e+00       4.21696503e-03       0.00000000e+00       5.00000000e+00       2.04257514e-01       1.92146561e+03       6.12852000e+05       1.57004000e+05       2.22700000e+03       2.27917000e+05
      1.00000000e+00       6.81292069e-03       0.00000000e+00       5.00000000e+00       2.03495390e-01       1.92234896e+03       6.11935000e+05       1.56832000e+05       3.67800000e+03       2.27555000e+05
      1.00000000e+00       1.10069417e-02       0.00000000e+00       5.00000000e+00       2.03279865e-01       1.92306218e+03       6.10711000e+05       1.56038000e+05       5.91500000e+03       2.27336000e+05
      1.00000000e+00       1.77827941e-02       0.00000000e+00       5.00000000e+00       2.03391263e-01       1.90683681e+03       6.08584000e+05       1.55265000e+05       9.49300000e+03       2.26658000e+05
      1.00000000e+00       2.87298483e-02       0.00000000e+00       5.00000000e+00       2.03272917e-01       1.90082903e+03       6.05184000e+05       1.54294000e+05       1.50750000e+04       2.25447000e+05
      1.00000000e+00       4.64158883e-02       0.00000000e+00       5.00000000e+00       2.02848034e-01       1.88014558e+03       5.99593000e+05       1.52597000e+05       2.43170000e+04       2.23493000e+05
      1.00000000e+00       7.49894209e-02       0.00000000e+00       5.00000000e+00       2.02026723e-01       1.85306087e+03       5.91061000e+05       1.49617000e+05       3.86000000e+04       2.20722000e+05
      1.00000000e+00       1.21152766e-01       0.00000000e+00       5.00000000e+00       2.00901184e-01       1.80725328e+03       5.78583000e+05       1.45144000e+05       5.95620000e+04       2.16711000e+05
      1.00000000e+00       1.95734178e-01       0.00000000e+00       5.00000000e+00       1.99467354e-01       1.74612664e+03       5.58544000e+05       1.39076000e+05       9.26490000e+04       2.09731000e+05
      1.00000000e+00       3.16227766e-01       0.00000000e+00       5.00000000e+00       1.97876089e-01       1.65248581e+03       5.29685000e+05       1.30451000e+05       1.40246000e+05       1.99618000e+05
      1.00000000e+00       5.10896977e-01       0.00000000e+00       5.00000000e+00       1.95641343e-01       1.52333770e+03       4.89948000e+05       1.18851000e+05       2.05664000e+05       1.85537000e+05
      1.00000000e+00       8.25404185e-01       0.00000000e+00       5.00000000e+00       1.93319896e-01       1.35630980e+03       4.37352000e+05       1.04663000e+05       2.91644000e+05       1.66341000e+05
      1.00000000e+00       1.33352143e+00       0.00000000e+00       5.00000000e+00       1.90942629e-01       1.15625928e+03       3.73697000e+05       8.83860000e+04       3.95262000e+05       1.42655000e+05
      1.00000000e+00       2.15443469e+00       0.00000000e+00       5.00000000e+00       1.89412695e-01       9.33746876e+02       3.03168000e+05       7.06950000e+04       5.09893000e+05       1.16244000e+05
      1.00000000e+00       3.48070059e+00       0.00000000e+00       5.00000000e+00       1.87902578e-01       7.16639939e+02       2.32377000e+05       5.36890000e+04       6.24590000e+05       8.93440000e+04
      1.00000000e+00       5.62341325e+00       0.00000000e+00       5.00000000e+00       1.85390361e-01       5.22854192e+02       1.70224000e+05       3.87980000e+04       7.25255000e+05       6.57230000e+04
      1.00000000e+00       9.08517576e+00       0.00000000e+00       5.00000000e+00       1.83903483e-01       3.65023494e+02       1.19148000e+05       2.69350000e+04       8.07813000e+05       4.61040000e+04
      1.00000000e+00       1.46779927e+01       0.00000000e+00       5.00000000e+00       1.81927067e-01       2.46370723e+02       8.03430000e+04       1.78790000e+04       8.70540000e+05       3.12380000e+04
      1.00000000e+00       2.37137371e+01       0.00000000e+00       5.00000000e+00       1.81481018e-01       1.60859895e+02       5.28300000e+04       1.16000000e+04       9.14960000e+05       2.06100000e+04
      1.00000000e+00       3.83118685e+01       0.00000000e+00       5.00000000e+00       1.82991276e-01       1.02470564e+02       3.37930000e+04       7.42900000e+03       9.45597000e+05       1.31810000e+04
      1.00000000e+00       6.18965819e+01       0.00000000e+00       5.00000000e+00       1.80779629e-01       6.54649492e+01       2.15700000e+04       4.70300000e+03       9.65293000e+05       8.43400000e+03
      1.00000000e+00       1.00000000e+02       0.00000000e+00       5.00000000e+00       1.79682304e-01       4.12950739e+01       1.34330000e+04       2.96700000e+03       9.78366000e+05       5.23400000e+03
