#         Kad                 Kdiff                 eaa                 Krxn                theta_A                 t                  Nads                 Ndes                 Ndiff                Nrxn         
      1.00000000e+00       1.00000000e-03       0.00000000e+00       5.00000000e+00       2.04246910e-01       1.92509872e+03       6.13855000e+05       1.57342000e+05       5.36000000e+02       2.28267000e+05
      1.00000000e+00       1.61559810e-03       0.00000000e+00       5.00000000e+00       2.03881188e-01       1.92649219e+03       6.13665000e+05       1.57231000e+05       8.93000000e+02       2.28211000e+05
      1.00000000e+00       2.61015722e-03       0.00000000e+00       5.00000000e+00       2.03920735e-01       1.92472772e+03       6.13457000e+05       1.56836000e+05       1.40000000e+03       2.28307000e+05
      1.00000000e+00       4.21696503e-03       0.00000000e+00       5.00000000e+00       2.04097041e-01       1.92412430e+03       6.12833000e+05       1.56983000e+05       2.26000000e+03       2.27924000e+05
      1.00000000e+00       6.81292069e-03       0.00000000e+00       5.00000000e+00       2.03868106e-01       1.91620108e+03       6.11842000e+05       1.57108000e+05       3.68100000e+03       2.27369000e+05
      1.00000000e+00       1.10069417e-02       0.00000000e+00       5.00000000e+00       2.03644413e-01       1.91453608e+03       6.10666000e+05       1.56125000e+05       5.93500000e+03       2.27274000e+05
      1.00000000e+00       1.77827941e-02       0.00000000e+00       5.00000000e+00       2.03354731e-01       1.91011026e+03       6.08465000e+05       1.55581000e+05       9.51300000e+03       2.26441000e+05
      1.00000000e+00       2.87298483e-02       0.00000000e+00       5.00000000e+00       2.03133073e-01       1.89673448e+03       6.05164000e+05       1.54322000e+05       1.50950000e+04       2.25419000e+05
      1.00000000e+00       4.64158883e-02       0.00000000e+00       5.00000000e+00       2.03007856e-01       1.87714892e+03       5.99677000e+05       1.52528000e+05       2.42210000e+04       2.23574000e+05
      1.00000000e+00       7.49894209e-02       0.00000000e+00       5.00000000e+00       2.01672170e-01       1.85275733e+03       5.91252000e+05       1.49978000e+05       3.81320000e+04       2.20638000e+05
      1.00000000e+00       1.21152766e-01       0.00000000e+00       5.00000000e+00       2.00500070e-01       1.80919166e+03       5.78028000e+05       1.45966000e+05       5.99790000e+04       2.16027000e+05
      1.00000000e+00       1.95734178e-01       0.00000000e+00       5.00000000e+00       1.99541789e-01       1.74625168e+03       5.58500000e+05       1.38728000e+05       9.28920000e+04       2.09880000e+05
      1.00000000e+00       3.16227766e-01       0.00000000e+00       5.00000000e+00       1.97533675e-01       1.65146940e+03       5.29997000e+05       1.30838000e+05       1.39582000e+05       1.99583000e+05
      1.00000000e+00       5.10896977e-01       0.00000000e+00       5.00000000e+00       1.95991765e-01       1.52039583e+03       4.89560000e+05       1.19342000e+05       2.05993000e+05       1.85105000e+05
      1.00000000e+00       8.25404185e-01       0.00000000e+00       5.00000000e+00       1.93625713e-01       1.35642567e+03       4.37308000e+05       1.04714000e+05       2.91670000e+05       1.66308000e+05
      1.00000000e+00       1.33352143e+00       0.00000000e+00       5.00000000e+00       1.91256257e-01       1.15327548e+03       3.73401000e+05       8.85130000e+04       3.95646000e+05       1.42440000e+05
      1.00000000e+00       2.15443469e+00       0.00000000e+00       5.00000000e+00       1.89370357e-01       9.33326466e+02       3.03365000e+05       6.99830000e+04       5.09962000e+05       1.16690000e+05
      1.00000000e+00       3.48070059e+00       0.00000000e+00       5.00000000e+00       1.87191645e-01       7.17852665e+02       2.33357000e+05       5.39890000e+04       6.22967000e+05       8.96870000e+04
      1.00000000e+00       5.62341325e+00       0.00000000e+00       5.00000000e+00       1.85317889e-01       5.23042328e+02       1.70538000e+05       3.89220000e+04       7.24732000e+05       6.58080000e+04
      1.00000000e+00       9.08517576e+00       0.00000000e+00       5.00000000e+00       1.83417169e-01       3.66180367e+02       1.19327000e+05       2.68880000e+04       8.07569000e+05       4.62160000e+04
      1.00000000e+00       1.46779927e+01       0.00000000e+00       5.00000000e+00       1.82502201e-01       2.45894033e+02       8.00220000e+04       1.79280000e+04       8.71001000e+05       3.10490000e+04
      1.00000000e+00       2.37137371e+01       0.00000000e+00       5.00000000e+00       1.81939069e-01       1.60716807e+02       5.27060000e+04       1.18150000e+04       9.15041000e+05       2.04380000e+04
      1.00000000e+00       3.83118685e+01       0.00000000e+00       5.00000000e+00       1.81386538e-01       1.03207328e+02       3.37640000e+04       7.63300000e+03       9.45539000e+05       1.30640000e+04
      1.00000000e+00       6.18965819e+01       0.00000000e+00       5.00000000e+00       1.81580639e-01       6.53365958e+01       2.14100000e+04       4.69700000e+03       9.65538000e+05       8.35500000e+03
      1.00000000e+00       1.00000000e+02       0.00000000e+00       5.00000000e+00       1.82005988e-01       4.08732501e+01       1.34730000e+04       2.97800000e+03       9.78297000e+05       5.25200000e+03
