#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.36010823e-03       2.79069693e-01       1.23863332e+01       4.30000000e+01       3.61600000e+03       5.00000000e+00       3.58100000e+03       1.32000000e+02       9.25850000e+04       3.80000000e+01
      1.58489319e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.71103024e-03       2.73667961e-01       1.29027991e+01       4.60000000e+01       3.60200000e+03       6.00000000e+00       3.57700000e+03       1.32000000e+02       9.25930000e+04       4.40000000e+01
      2.51188643e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       8.19477374e-03       2.76943114e-01       1.28524568e+01       9.10000000e+01       3.67000000e+03       1.70000000e+01       3.60200000e+03       2.68000000e+02       9.22760000e+04       7.60000000e+01
      3.98107171e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.19229034e-02       2.76499073e-01       1.31141720e+01       1.41000000e+02       3.78300000e+03       1.10000000e+01       3.66700000e+03       4.58000000e+02       9.18090000e+04       1.31000000e+02
      6.30957344e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.00126580e-02       2.76255148e-01       1.38541200e+01       2.63000000e+02       3.91300000e+03       3.00000000e+01       3.68800000e+03       6.99000000e+02       9.11770000e+04       2.30000000e+02
      1.00000000e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.19918024e-02       2.74512345e-01       1.47665925e+01       4.40000000e+02       4.15500000e+03       3.70000000e+01       3.74700000e+03       1.34400000e+03       8.98740000e+04       4.03000000e+02
      1.58489319e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.68869038e-02       2.82096862e-01       1.51595826e+01       6.65000000e+02       4.17200000e+03       7.30000000e+01       3.57700000e+03       2.05600000e+03       8.88590000e+04       5.98000000e+02
      2.51188643e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       6.60963265e-02       2.79239404e-01       1.71143290e+01       1.12400000e+03       4.50000000e+03       1.11000000e+02       3.51300000e+03       3.38000000e+03       8.63710000e+04       1.00100000e+03
      3.98107171e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.07074508e-01       2.75917611e-01       2.04730880e+01       1.99800000e+03       5.19100000e+03       2.65000000e+02       3.44000000e+03       7.66600000e+03       7.97080000e+04       1.73200000e+03
      6.30957344e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.58751465e-01       2.62531589e-01       2.50458253e+01       3.65700000e+03       5.86700000e+03       6.92000000e+02       2.90600000e+03       1.72100000e+04       6.67090000e+04       2.95900000e+03
      1.00000000e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.32989189e-01       2.28332515e-01       2.86295595e+01       6.16900000e+03       6.05900000e+03       1.89100000e+03       1.76500000e+03       4.07660000e+04       3.90520000e+04       4.29800000e+03
      1.58489319e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.12767588e-01       1.94782978e-01       2.33782776e+01       7.30500000e+03       4.67800000e+03       3.36200000e+03       7.62000000e+02       6.54930000e+04       1.44630000e+04       3.93700000e+03
      2.51188643e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.74687812e-01       1.60891045e-01       1.65018407e+01       7.64100000e+03       3.01300000e+03       4.87100000e+03       2.60000000e+02       7.67560000e+04       4.69500000e+03       2.76400000e+03
      3.98107171e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.34003099e-01       1.43191708e-01       1.15687352e+01       7.84300000e+03       2.03100000e+03       5.89500000e+03       8.10000000e+01       8.04750000e+04       1.72600000e+03       1.94900000e+03
      6.30957344e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.83464250e-01       1.20911344e-01       8.22082935e+00       8.37100000e+03       1.31800000e+03       7.06400000e+03       4.10000000e+01       8.12860000e+04       6.36000000e+02       1.28400000e+03
      1.00000000e+01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       5.32700909e-01       1.00473969e-01       5.99151539e+00       8.75700000e+03       8.46000000e+02       7.93500000e+03       2.00000000e+01       8.14040000e+04       2.04000000e+02       8.34000000e+02
