#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.56293831e-03       2.73412206e-01       1.29056399e+01       4.70000000e+01       3.70000000e+03       4.00000000e+00       3.66200000e+03       1.60000000e+02       9.23840000e+04       4.30000000e+01
      1.58489319e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       6.68234237e-03       2.74591243e-01       1.29115652e+01       6.50000000e+01       3.70800000e+03       8.00000000e+00       3.63300000e+03       2.11000000e+02       9.23140000e+04       6.10000000e+01
      2.51188643e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       8.53088732e-03       2.77117789e-01       1.28381550e+01       9.30000000e+01       3.69600000e+03       1.10000000e+01       3.60200000e+03       2.90000000e+02       9.22270000e+04       8.10000000e+01
      3.98107171e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.36286329e-02       2.79608715e-01       1.30870175e+01       1.75000000e+02       3.70200000e+03       1.60000000e+01       3.54300000e+03       4.23000000e+02       9.19820000e+04       1.59000000e+02
      6.30957344e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.94668130e-02       2.76108030e-01       1.37464840e+01       2.54000000e+02       3.88600000e+03       2.60000000e+01       3.65800000e+03       7.12000000e+02       9.12350000e+04       2.29000000e+02
      1.00000000e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.85429388e-02       2.79436287e-01       1.40763721e+01       3.88000000e+02       3.99100000e+03       4.00000000e+01       3.64700000e+03       1.08200000e+03       9.04920000e+04       3.60000000e+02
      1.58489319e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.32764809e-02       2.77801380e-01       1.53217386e+01       6.13000000e+02       4.18400000e+03       5.40000000e+01       3.64100000e+03       1.91500000e+03       8.90390000e+04       5.54000000e+02
      2.51188643e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       7.26734631e-02       2.77730396e-01       1.76590031e+01       1.17100000e+03       4.55200000e+03       1.30000000e+02       3.51900000e+03       4.09300000e+03       8.54970000e+04       1.03800000e+03
      3.98107171e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.10915411e-01       2.75571117e-01       2.09752234e+01       2.10900000e+03       5.23800000e+03       3.09000000e+02       3.43600000e+03       7.72700000e+03       7.93770000e+04       1.80400000e+03
      6.30957344e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.59540301e-01       2.63245797e-01       2.50247086e+01       3.66600000e+03       5.87500000e+03       6.83000000e+02       2.87400000e+03       1.72280000e+04       6.66830000e+04       2.99100000e+03
      1.00000000e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.29918430e-01       2.31788313e-01       2.82644873e+01       6.04100000e+03       6.07300000e+03       1.74500000e+03       1.78700000e+03       3.97220000e+04       4.03420000e+04       4.29000000e+03
      1.58489319e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.15475135e-01       1.91554299e-01       2.31086663e+01       7.36700000e+03       4.48800000e+03       3.53100000e+03       6.38000000e+02       6.63280000e+04       1.37960000e+04       3.85200000e+03
      2.51188643e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.80581867e-01       1.59813060e-01       1.62534990e+01       7.52100000e+03       2.99900000e+03       4.75700000e+03       2.37000000e+02       7.74610000e+04       4.26400000e+03       2.76100000e+03
      3.98107171e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.31188906e-01       1.35681819e-01       1.13998852e+01       7.69000000e+03       1.95200000e+03       5.84100000e+03       1.07000000e+02       8.09840000e+04       1.58600000e+03       1.84000000e+03
      6.30957344e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.86461981e-01       1.23639857e-01       8.33084308e+00       8.30200000e+03       1.33200000e+03       7.00500000e+03       3.30000000e+01       8.14900000e+04       5.37000000e+02       1.30100000e+03
      1.00000000e+01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       5.32246701e-01       1.02569738e-01       6.06051886e+00       8.91300000e+03       8.90000000e+02       8.03200000e+03       2.80000000e+01       8.10450000e+04       2.23000000e+02       8.69000000e+02
      1.58489319e+01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       5.79855386e-01       9.03831928e-02       4.71618250e+00       9.94100000e+03       6.00000000e+02       9.35200000e+03       1.50000000e+01       7.93960000e+04       1.02000000e+02       5.94000000e+02
      2.51188643e+01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       6.24914988e-01       8.15502463e-02       3.85657842e+00       1.13010000e+04       4.39000000e+02       1.08550000e+04       6.00000000e+00       7.69040000e+04       5.40000000e+01       4.41000000e+02
