#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.25681555e-02       2.98763927e-01       1.88089618e+03       4.84900000e+03       4.95158000e+05       4.83600000e+03       4.95157000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.15443469e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       9.87147198e-02       3.30193229e-01       2.14350986e+03       1.05820000e+04       4.89418000e+05       1.05800000e+04       4.89420000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      4.64158883e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       2.55770865e-01       4.18839406e-01       3.67602860e+03       2.19960000e+04       4.78042000e+05       2.19460000e+04       4.78016000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.00000000e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       3.97973610e-01       4.74312414e-01       8.88490601e+03       4.55420000e+04       4.54455000e+05       4.55490000e+04       4.54454000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.15443469e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.52404556e-01       4.85268085e-01       1.64829554e+04       8.86030000e+04       4.11396000e+05       8.86050000e+04       4.11396000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      4.64158883e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.77659695e-01       4.88530669e-01       2.52634905e+04       1.58614000e+05       3.41388000e+05       1.58610000e+05       3.41388000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.00000000e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.89710621e-01       4.89748207e-01       3.02974517e+04       2.49679000e+05       2.50323000e+05       2.49683000e+05       2.50315000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.15443469e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.95561892e-01       4.90138334e-01       2.76678723e+04       3.41517000e+05       1.58485000e+05       3.41516000e+05       1.58482000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      4.64158883e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.98512406e-01       4.89959310e-01       1.92122645e+04       4.10903000e+05       8.90960000e+04       4.10905000e+05       8.90960000e+04       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.00000000e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       5.00609542e-01       4.89198887e-01       1.11745052e+04       4.54474000e+05       4.55250000e+04       4.54475000e+05       4.55260000e+04       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.15443469e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       5.03015142e-01       4.87601732e-01       5.89657133e+03       4.77570000e+05       2.24310000e+04       4.77569000e+05       2.24300000e+04       0.00000000e+00       0.00000000e+00       0.00000000e+00
      4.64158883e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       5.07291794e-01       4.83630172e-01       2.89524603e+03       4.89423000e+05       1.05780000e+04       4.89425000e+05       1.05740000e+04       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.00000000e+02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       5.16241962e-01       4.74702385e-01       1.36815594e+03       4.95037000e+05       4.96400000e+03       4.95036000e+05       4.96300000e+03       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.15443469e+02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       5.33301284e-01       4.58141676e-01       6.74699872e+02       4.97672000e+05       2.32700000e+03       4.97674000e+05       2.32700000e+03       0.00000000e+00       0.00000000e+00       0.00000000e+00
