#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       6.21659268e-06       9.76678519e-01       2.54934006e+03       2.52000000e+02       2.39310000e+04       2.35000000e+02       2.39110000e+04       5.63000000e+02       5.10910000e+04       1.70000000e+01
      1.58489319e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       8.68540253e-06       9.75927017e-01       2.47832227e+03       4.04000000e+02       2.37520000e+04       3.75000000e+02       2.37230000e+04       5.01000000e+02       5.12160000e+04       2.90000000e+01
      2.51188643e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.30926787e-05       9.76596600e-01       2.51879513e+03       5.99000000e+02       2.36590000e+04       5.53000000e+02       2.36130000e+04       8.69000000e+02       5.06610000e+04       4.60000000e+01
      3.98107171e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       2.11608542e-05       9.75733302e-01       2.42174548e+03       8.89000000e+02       2.31510000e+04       8.24000000e+02       2.30830000e+04       1.42200000e+03       5.05660000e+04       6.50000000e+01
      6.30957344e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       3.50852330e-05       9.76343798e-01       2.40750299e+03       1.45500000e+03       2.29510000e+04       1.33900000e+03       2.28300000e+04       2.27300000e+03       4.90360000e+04       1.16000000e+02
      1.00000000e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       5.74418914e-05       9.75546687e-01       2.27635546e+03       2.19800000e+03       2.20820000e+04       2.01400000e+03       2.19030000e+04       3.67900000e+03       4.79400000e+04       1.84000000e+02
      1.58489319e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       8.99491800e-05       9.75729798e-01       2.19601154e+03       3.43500000e+03       2.11100000e+04       3.14000000e+03       2.08140000e+04       5.32900000e+03       4.58770000e+04       2.95000000e+02
      2.51188643e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.46848463e-04       9.75274603e-01       2.00689841e+03       4.96700000e+03       1.97210000e+04       4.53300000e+03       1.92940000e+04       8.48000000e+03       4.25710000e+04       4.34000000e+02
      3.98107171e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       2.52600932e-04       9.74701963e-01       1.75546233e+03       7.12200000e+03       1.74840000e+04       6.56000000e+03       1.69200000e+04       1.34660000e+04       3.78850000e+04       5.63000000e+02
      6.30957344e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       4.09480855e-04       9.73975439e-01       1.47733611e+03       9.64700000e+03       1.50850000e+04       8.80800000e+03       1.42380000e+04       1.83530000e+04       3.30300000e+04       8.39000000e+02
