#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       5.38115413e-06       9.76508244e-01       2.53459868e+03       2.20000000e+02       2.37860000e+04       2.06000000e+02       2.37710000e+04       4.29000000e+02       5.15740000e+04       1.40000000e+01
      1.58489319e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       8.30671278e-06       9.76294920e-01       2.49605359e+03       3.80000000e+02       2.38510000e+04       3.51000000e+02       2.38270000e+04       5.87000000e+02       5.09750000e+04       2.90000000e+01
      2.51188643e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.35879696e-05       9.76729395e-01       2.51470863e+03       5.69000000e+02       2.36770000e+04       5.20000000e+02       2.36260000e+04       1.04100000e+03       5.05180000e+04       4.90000000e+01
      3.98107171e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       2.14955640e-05       9.76093038e-01       2.43616976e+03       8.97000000e+02       2.32010000e+04       8.28000000e+02       2.31340000e+04       1.63800000e+03       5.02330000e+04       6.90000000e+01
      6.30957344e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       3.34246440e-05       9.76385536e-01       2.43267750e+03       1.45400000e+03       2.29020000e+04       1.31100000e+03       2.27640000e+04       2.29100000e+03       4.91350000e+04       1.43000000e+02
      1.00000000e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       5.54513416e-05       9.75750418e-01       2.29974750e+03       2.23900000e+03       2.20570000e+04       2.05100000e+03       2.18700000e+04       3.70000000e+03       4.78950000e+04       1.88000000e+02
      1.58489319e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.05735215e-05       9.75739050e-01       2.18784021e+03       3.37500000e+03       2.11520000e+04       3.11400000e+03       2.08880000e+04       5.81300000e+03       4.53970000e+04       2.61000000e+02
      2.51188643e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.44918166e-04       9.75570219e-01       2.02521037e+03       5.04400000e+03       1.95890000e+04       4.61900000e+03       1.91630000e+04       8.29800000e+03       4.28620000e+04       4.25000000e+02
      3.98107171e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       2.31280943e-04       9.75193294e-01       1.80675958e+03       6.96100000e+03       1.78390000e+04       6.38000000e+03       1.72510000e+04       1.24020000e+04       3.85860000e+04       5.81000000e+02
      6.30957344e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       3.98681872e-04       9.74162128e-01       1.49759436e+03       9.53700000e+03       1.52420000e+04       8.76400000e+03       1.44710000e+04       1.79940000e+04       3.32210000e+04       7.71000000e+02
