#         Kad                 Kdiff                 eaa                 Krxn                theta_A                 t                  Nads                 Ndes                 Ndiff                Nrxn         
      1.00000000e-02       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.45648783e-03       1.26263242e+06       5.00322900e+06       4.99031300e+06       0.00000000e+00       6.45800000e+03
      2.61015722e-02       0.00000000e+00       1.00000000e+00       2.00855369e+01       2.27927753e-02       4.90545511e+05       5.00754400e+06       4.97736700e+06       0.00000000e+00       1.50890000e+04
      6.81292069e-02       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.00125851e-02       1.93596053e+05       5.01563200e+06       4.95310500e+06       0.00000000e+00       3.12630000e+04
      1.77827941e-01       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.53297450e-02       7.80825569e+04       5.02522600e+06       4.92431600e+06       0.00000000e+00       5.04580000e+04
      4.64158883e-01       0.00000000e+00       1.00000000e+00       2.00855369e+01       1.56819272e-01       3.21357688e+04       5.03151300e+06       4.90547200e+06       0.00000000e+00       6.30150000e+04
      1.21152766e+00       0.00000000e+00       1.00000000e+00       2.00855369e+01       2.31423525e-01       1.35092543e+04       5.02874100e+06       4.91377900e+06       0.00000000e+00       5.74800000e+04
      3.16227766e+00       0.00000000e+00       1.00000000e+00       2.00855369e+01       3.31517330e-01       5.93270925e+03       5.01587700e+06       4.95237500e+06       0.00000000e+00       3.17480000e+04
      8.25404185e+00       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.40703745e-01       2.70982246e+03       5.00191700e+06       4.99425100e+06       0.00000000e+00       3.83200000e+03
      2.15443469e+01       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.76929767e-01       1.10897284e+03       5.00040100e+06       4.99879500e+06       0.00000000e+00       8.04000000e+02
      5.62341325e+01       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.91187077e-01       4.37038097e+02       5.00016500e+06       4.99951200e+06       0.00000000e+00       3.23000000e+02
      1.46779927e+02       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.96983732e-01       1.69354637e+02       5.00008100e+06       4.99975400e+06       0.00000000e+00       1.65000000e+02
      3.83118685e+02       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.99837574e-01       6.52345525e+01       5.00006700e+06       4.99980000e+06       0.00000000e+00       1.33000000e+02
      1.00000000e+03       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.02572019e-01       2.51203659e+01       5.00006400e+06       4.99980900e+06       0.00000000e+00       1.27000000e+02
      2.61015722e+03       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.07851715e-01       9.72884828e+00       5.00006300e+06       4.99980700e+06       0.00000000e+00       1.30000000e+02
      6.81292069e+03       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.20794184e-01       3.82919798e+00       5.00007400e+06       4.99978400e+06       0.00000000e+00       1.42000000e+02
      1.77827941e+04       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.55517980e-01       1.58197552e+00       5.00007100e+06       4.99977300e+06       0.00000000e+00       1.56000000e+02
      4.64158883e+04       0.00000000e+00       1.00000000e+00       2.00855369e+01       6.65035099e-01       8.04164577e-01       5.00011200e+06       4.99967400e+06       0.00000000e+00       2.14000000e+02
      1.21152766e+05       0.00000000e+00       1.00000000e+00       2.00855369e+01       7.50159555e-01       4.12884829e-01       5.00008300e+06       4.99974400e+06       0.00000000e+00       1.73000000e+02
      3.16227766e+05       0.00000000e+00       1.00000000e+00       2.00855369e+01       8.25650736e-01       2.26693512e-01       5.00005600e+06       4.99982900e+06       0.00000000e+00       1.15000000e+02
      8.25404185e+05       0.00000000e+00       1.00000000e+00       2.00855369e+01       8.93440480e-01       1.42086709e-01       5.00004600e+06       4.99986100e+06       0.00000000e+00       9.30000000e+01
      2.15443469e+06       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.44415351e-01       1.04308887e-01       5.00002800e+06       4.99990700e+06       0.00000000e+00       6.50000000e+01
      5.62341325e+06       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.74726742e-01       8.79815935e-02       5.00002600e+06       4.99992600e+06       0.00000000e+00       4.80000000e+01
      1.46779927e+07       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.89505332e-01       8.11899329e-02       5.00003200e+06       4.99990500e+06       0.00000000e+00       6.30000000e+01
      3.83118685e+07       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.95849046e-01       7.85403038e-02       5.00003500e+06       4.99989700e+06       0.00000000e+00       6.80000000e+01
      1.00000000e+08       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.98386514e-01       7.74479249e-02       5.00002700e+06       4.99991900e+06       0.00000000e+00       5.40000000e+01
