#         Kad                 Kdiff                 eaa                 Krxn                theta_A                 t                  Nads                 Ndes                 Ndiff                Nrxn         
      1.00000000e-02       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.45775399e-03       1.26306418e+06       5.00325900e+06       4.99022300e+06       0.00000000e+00       6.51800000e+03
      2.61015722e-02       0.00000000e+00       1.00000000e+00       2.00855369e+01       2.27815407e-02       4.90643799e+05       5.00750100e+06       4.97749400e+06       0.00000000e+00       1.50050000e+04
      6.81292069e-02       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.00097162e-02       1.93734242e+05       5.01549900e+06       4.95350600e+06       0.00000000e+00       3.09950000e+04
      1.77827941e-01       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.54284970e-02       7.80367159e+04       5.02521300e+06       4.92436400e+06       0.00000000e+00       5.04230000e+04
      4.64158883e-01       0.00000000e+00       1.00000000e+00       2.00855369e+01       1.56726250e-01       3.21597566e+04       5.03132400e+06       4.90601900e+06       0.00000000e+00       6.26570000e+04
      1.21152766e+00       0.00000000e+00       1.00000000e+00       2.00855369e+01       2.31223560e-01       1.34843856e+04       5.02883000e+06       4.91349100e+06       0.00000000e+00       5.76790000e+04
      3.16227766e+00       0.00000000e+00       1.00000000e+00       2.00855369e+01       3.33402972e-01       5.95144676e+03       5.01555800e+06       4.95331700e+06       0.00000000e+00       3.11250000e+04
      8.25404185e+00       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.40940641e-01       2.70962470e+03       5.00189900e+06       4.99431300e+06       0.00000000e+00       3.78800000e+03
      2.15443469e+01       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.77084417e-01       1.10953488e+03       5.00036100e+06       4.99891400e+06       0.00000000e+00       7.25000000e+02
      5.62341325e+01       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.91218484e-01       4.36980177e+02       5.00016100e+06       4.99951600e+06       0.00000000e+00       3.23000000e+02
      1.46779927e+02       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.96971618e-01       1.69326478e+02       5.00010100e+06       4.99969800e+06       0.00000000e+00       2.01000000e+02
      3.83118685e+02       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.99846214e-01       6.52576003e+01       5.00007600e+06       4.99977300e+06       0.00000000e+00       1.51000000e+02
      1.00000000e+03       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.02575145e-01       2.51290915e+01       5.00006700e+06       4.99979700e+06       0.00000000e+00       1.36000000e+02
      2.61015722e+03       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.07842182e-01       9.73149800e+00       5.00006700e+06       4.99979700e+06       0.00000000e+00       1.36000000e+02
      6.81292069e+03       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.20780186e-01       3.82868701e+00       5.00006700e+06       4.99980200e+06       0.00000000e+00       1.31000000e+02
      1.77827941e+04       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.55358376e-01       1.58021967e+00       5.00007100e+06       4.99978600e+06       0.00000000e+00       1.43000000e+02
      4.64158883e+04       0.00000000e+00       1.00000000e+00       2.00855369e+01       6.64713500e-01       8.03410722e-01       5.00010300e+06       4.99968900e+06       0.00000000e+00       2.08000000e+02
      1.21152766e+05       0.00000000e+00       1.00000000e+00       2.00855369e+01       7.50103287e-01       4.13197183e-01       5.00007400e+06       4.99977800e+06       0.00000000e+00       1.48000000e+02
      3.16227766e+05       0.00000000e+00       1.00000000e+00       2.00855369e+01       8.25624535e-01       2.26740212e-01       5.00006100e+06       4.99982400e+06       0.00000000e+00       1.15000000e+02
      8.25404185e+05       0.00000000e+00       1.00000000e+00       2.00855369e+01       8.93404267e-01       1.42114402e-01       5.00004500e+06       4.99986200e+06       0.00000000e+00       9.30000000e+01
      2.15443469e+06       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.44421235e-01       1.04323767e-01       5.00003300e+06       4.99989800e+06       0.00000000e+00       6.90000000e+01
      5.62341325e+06       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.74716112e-01       8.79236144e-02       5.00002900e+06       4.99990900e+06       0.00000000e+00       6.20000000e+01
      1.46779927e+07       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.89518922e-01       8.11839624e-02       5.00002800e+06       4.99991400e+06       0.00000000e+00       5.80000000e+01
      3.83118685e+07       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.95843744e-01       7.84999284e-02       5.00002900e+06       4.99991500e+06       0.00000000e+00       5.60000000e+01
      1.00000000e+08       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.98386680e-01       7.74787141e-02       5.00003200e+06       4.99990500e+06       0.00000000e+00       6.30000000e+01
