#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.69996574e-03       2.74141785e-01       1.73417972e+02       4.83000000e+02       4.97090000e+04       9.70000000e+01       4.93250000e+04       0.00000000e+00       0.00000000e+00       3.86000000e+02
      1.58489319e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       6.10708401e-03       2.74363512e-01       1.71834972e+02       7.86000000e+02       4.95290000e+04       1.58000000e+02       4.89000000e+04       0.00000000e+00       0.00000000e+00       6.27000000e+02
      2.51188643e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       9.54736607e-03       2.73914290e-01       1.71691225e+02       1.22900000e+03       4.92500000e+04       2.64000000e+02       4.82920000e+04       0.00000000e+00       0.00000000e+00       9.65000000e+02
      3.98107171e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.55641041e-02       2.75505623e-01       1.71515712e+02       2.00000000e+03       4.87640000e+04       4.60000000e+02       4.72350000e+04       0.00000000e+00       0.00000000e+00       1.54100000e+03
      6.30957344e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.37178673e-02       2.72256576e-01       1.72370691e+02       2.99100000e+03       4.81580000e+04       7.01000000e+02       4.58560000e+04       0.00000000e+00       0.00000000e+00       2.29400000e+03
      1.00000000e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.65950679e-02       2.70146570e-01       1.70110098e+02       4.78600000e+03       4.69650000e+04       1.26300000e+03       4.34670000e+04       0.00000000e+00       0.00000000e+00       3.51900000e+03
      1.58489319e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       5.62554361e-02       2.68640788e-01       1.68508228e+02       7.32600000e+03       4.53200000e+04       2.03800000e+03       4.00340000e+04       0.00000000e+00       0.00000000e+00       5.28200000e+03
      2.51188643e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       8.15468409e-02       2.63706278e-01       1.64411222e+02       1.06620000e+04       4.30560000e+04       3.21000000e+03       3.56220000e+04       0.00000000e+00       0.00000000e+00       7.45000000e+03
      3.98107171e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.21540995e-01       2.56718888e-01       1.57758188e+02       1.56900000e+04       3.93540000e+04       5.61100000e+03       2.92530000e+04       0.00000000e+00       0.00000000e+00       1.00920000e+04
      6.30957344e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.68983099e-01       2.44081595e-01       1.47103521e+02       2.17190000e+04       3.44670000e+04       9.35400000e+03       2.20920000e+04       0.00000000e+00       0.00000000e+00       1.23680000e+04
      1.00000000e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.26779083e-01       2.26060166e-01       1.30192178e+02       2.83590000e+04       2.85540000e+04       1.45320000e+04       1.47430000e+04       0.00000000e+00       0.00000000e+00       1.38120000e+04
