#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.05207461e-03       2.75244764e-01       1.71272874e+02       5.00000000e+02       4.97010000e+04       9.80000000e+01       4.92990000e+04       0.00000000e+00       0.00000000e+00       4.02000000e+02
      1.58489319e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       6.10343424e-03       2.75462689e-01       1.72002055e+02       7.93000000e+02       4.95210000e+04       1.59000000e+02       4.88880000e+04       0.00000000e+00       0.00000000e+00       6.39000000e+02
      2.51188643e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       9.68136540e-03       2.74800483e-01       1.72007625e+02       1.25900000e+03       4.92370000e+04       2.72000000e+02       4.82510000e+04       0.00000000e+00       0.00000000e+00       9.81000000e+02
      3.98107171e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.44881587e-02       2.76150891e-01       1.70139713e+02       1.89700000e+03       4.88270000e+04       4.54000000e+02       4.73760000e+04       0.00000000e+00       0.00000000e+00       1.44600000e+03
      6.30957344e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.40014967e-02       2.73530975e-01       1.70257476e+02       3.07500000e+03       4.81090000e+04       7.04000000e+02       4.57400000e+04       0.00000000e+00       0.00000000e+00       2.37200000e+03
      1.00000000e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.62044449e-02       2.70469880e-01       1.70481447e+02       4.72000000e+03       4.70420000e+04       1.19500000e+03       4.35190000e+04       0.00000000e+00       0.00000000e+00       3.52400000e+03
      1.58489319e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       5.60292101e-02       2.68674954e-01       1.67868674e+02       7.27100000e+03       4.53510000e+04       2.03000000e+03       4.01130000e+04       0.00000000e+00       0.00000000e+00       5.23500000e+03
      2.51188643e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       8.12584619e-02       2.63652569e-01       1.64030077e+02       1.06850000e+04       4.29840000e+04       3.35200000e+03       3.56480000e+04       0.00000000e+00       0.00000000e+00       7.33100000e+03
      3.98107171e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.21634932e-01       2.53936576e-01       1.58537760e+02       1.57530000e+04       3.92650000e+04       5.71700000e+03       2.92270000e+04       0.00000000e+00       0.00000000e+00       1.00380000e+04
      6.30957344e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.70923018e-01       2.43784618e-01       1.45617875e+02       2.19310000e+04       3.43050000e+04       9.45400000e+03       2.18470000e+04       0.00000000e+00       0.00000000e+00       1.24630000e+04
      1.00000000e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.25896639e-01       2.29521706e-01       1.29967759e+02       2.84300000e+04       2.85060000e+04       1.45370000e+04       1.46280000e+04       0.00000000e+00       0.00000000e+00       1.38990000e+04
      1.58489319e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.90301030e-01       2.06442591e-01       1.08977954e+02       3.47700000e+04       2.19420000e+04       2.13330000e+04       8.51400000e+03       0.00000000e+00       0.00000000e+00       1.34410000e+04
      2.51188643e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.53357249e-01       1.82044437e-01       8.54841034e+01       3.98750000e+04       1.59080000e+04       2.83100000e+04       4.34400000e+03       0.00000000e+00       0.00000000e+00       1.15630000e+04
      3.98107171e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.13121850e-01       1.56484210e-01       6.38418052e+01       4.35610000e+04       1.08980000e+04       3.46400000e+04       1.97000000e+03       0.00000000e+00       0.00000000e+00       8.93100000e+03
